,"La siguiente línea de precios aplica para POSADAS AL RÍO (incluye valor de lotes). En otros desarrollos consultar su vigencia, cupos y condiciones)",,,,,,,,,,,,,,,,"PLAN DE VENTA DENTRO DEL FIDEICOMISO CON ""CUPOS"" DE ENTREGA PROGRAMADA - ANTICIPO FLEXIBLE DEL 25% - SALDO 100% FINANCIADO BANCO + DESARROLLADOR",,,PROMOCIÓN PAGO CONTADO SOBRE PRECIO DE LISTA DENTRO DEL FIDEICOMISO/CUPO - APLICABLE A TODOS LOS MODELOS - SALDO 100% FINANCIADO BANCO + DESARROLLADOR,,,PLAN DE VENTA ESPECIAL PRECIO DE POZO DENTRO DEL FIDEICOMISO -  ANTICIPO FLEXIBLE DEL 35% Y AHORRO 35% SOBRE EL COSTO TOTAL (% anticipo = % descuento - Tope 35%). ,,
LÍNEA,NOMBRE,SKU,SISTEMA C.,Estilo,Tipología,Variante,M2 CUBIER.,M2 SEMIC.,Plantas,Dorm.,Baños,Toilette,Lavadero,Parrilla,COSTO PLANO,OFERTA,PRECIO LISTA,PRECIO / M2,ANTICIPO,PRECIO CONTADO,PRECIO / M2,ANTICIPO,PRECIO POZO,PRECIO / M2,ANTICIPO
,CALIFORNIA,,WOOD FRAMING PLUS,Moderno,1,,"73,9",,1,3,1,1,Ext.,Si,$101.613,Lote + Casa + Guardería,"$116.854,38",$1.581,$29.214,"$105.168,94",$1.423,$105.169,"$86.558,80",$1.171,$30.296
,CALIFORNIA,,WOOD FRAMING PLUS,Moderno,1,,"82,4",,1,4,1,1,Ext.,Si,$113.300,Lote + Casa + Guardería,"$130.295,00",$1.581,$32.574,"$117.265,50",$1.423,$117.266,"$96.514,81",$1.171,$33.780
,CALIFORNIA,,WOOD FRAMING PLUS,Moderno,1,,"85,5",,1,4,2,0,Ext.,Si,$117.563,Lote + Casa + Guardería,"$135.196,88",$1.581,$33.799,"$121.677,19",$1.423,$121.677,"$100.145,83",$1.171,$35.051
,PAMPA,,WOOD FRAMING PLUS,Campestre,2,,"40,6",,1,1,1,0,Ext.,Si,$55.825,Lote + Casa + Guardería,"$64.198,75",$1.581,$16.050,"$57.778,88",$1.423,$57.779,"$47.554,63",$1.171,$16.644
,PAMPA,,WOOD FRAMING PLUS,Campestre,2,,"40,6",,1,1,1,0,Ext.,Si,$55.825,Lote + Casa + Guardería,"$64.198,75",$1.581,$16.050,"$57.778,88",$1.423,$57.779,"$47.554,63",$1.171,$16.644
,PAMPA,,WOOD FRAMING PLUS,Campestre,2,,"56,3",,1,2,1,0,Ext.,Si,$77.413,Lote + Casa + Guardería,"$89.024,38",$1.581,$22.256,"$80.121,94",$1.423,$80.122,"$65.943,98",$1.171,$23.080
,PAMPA,,WOOD FRAMING PLUS,Campestre,2,,"56,3",,1,2,1,0,Ext.,Si,$77.413,Lote + Casa + Guardería,"$89.024,38",$1.581,$22.256,"$80.121,94",$1.423,$80.122,"$65.943,98",$1.171,$23.080
,PAMPA,,WOOD FRAMING PLUS,Campestre,2,,"61,4",,1,2,1,1,Ext.,Si,$84.425,Lote + Casa + Guardería,"$97.088,75",$1.581,$24.272,"$87.379,88",$1.423,$87.380,"$71.917,59",$1.171,$25.171
,PAMPA,,WOOD FRAMING PLUS,Campestre,2,,"74,6",,1,3,1,1,Ext.,Si,$102.575,Lote + Casa + Guardería,"$117.961,25",$1.581,$29.490,"$106.165,13",$1.423,$106.165,"$87.378,70",$1.171,$30.583
,PAMPA,,WOOD FRAMING PLUS,Campestre,2,,"74,6",,1,3,2,0,Ext.,Si,$102.575,Lote + Casa + Guardería,"$117.961,25",$1.581,$29.490,"$106.165,13",$1.423,$106.165,"$87.378,70",$1.171,$30.583
,PAMPA,,WOOD FRAMING PLUS,Campestre,2,,85,,1,4,1,1,Ext.,Si,$116.875,Lote + Casa + Guardería,"$134.406,25",$1.581,$33.602,"$120.965,63",$1.423,$120.966,"$99.560,19",$1.171,$34.846
,PAMPA,,WOOD FRAMING PLUS,Campestre,2,,85,,1,4,2,0,Ext.,Si,$116.875,Lote + Casa + Guardería,"$134.406,25",$1.581,$33.602,"$120.965,63",$1.423,$120.966,"$99.560,19",$1.171,$34.846
,ESCANDINAVIA,,WOOD FRAMING PLUS,Nórdico,2,,"40,6",,1,1,1,0,Ext.,Si,$55.825,Lote + Casa + Guardería,"$64.198,75",$1.581,$16.050,"$57.778,88",$1.423,$57.779,"$47.554,63",$1.171,$16.644
,ESCANDINAVIA,,WOOD FRAMING PLUS,Nórdico,2,,"40,6",,1,1,1,0,Ext.,Si,$55.825,Lote + Casa + Guardería,"$64.198,75",$1.581,$16.050,"$57.778,88",$1.423,$57.779,"$47.554,63",$1.171,$16.644
